"","council_id","leave_share","BNP_vote_share","Conservative_vote_share","Green_vote_share","LD_vote_share","Labour_vote_share","UKIP_vote_share","agriculture","eu_eco_dependence","fiscal_cuts","eu_15_imm_growth","immigrant_share","median_wage_growth","unemployment"
"29",36,49.6916122136537,1.34774386882782,18.7117004394531,9.31153774261475,6.35287761688232,32.6846809387207,27.3585529327393,0.266666666666667,9.9,-95.8037185668945,0.263488233089447,11.1111111111111,-3.33827090263367,6.5
"30",37,54.9966735259078,1.72031116485596,20.2840538024902,8.38390350341797,5.62021589279175,31.6222457885742,27.3823356628418,0.34,9.9,-45.6863975524902,0.071259893476963,10.1880877742947,-5.1309986114502,6.1
"31",38,66.3640726225706,2.11782360076904,14.9512033462524,5.00744152069092,2.42733144760132,33.965518951416,36.0425148010254,0.34,9.9,11.7251758575439,0.0526696555316448,7.57575757575758,-6.26012372970581,6.4
"32",39,57.2234884588289,1.67383408546448,20.5788955688477,5.16870641708374,8.17730712890625,31.3562698364258,29.8114452362061,0.4,9.5,-24.4188919067383,0.233640640974045,15.1394422310757,-6.14837646484375,7.6
"33",40,63.9188184441672,2.04044103622437,16.2377452850342,4.78400754928589,5.67248773574829,34.545036315918,33.359375,0.9,9.5,-26.727689743042,0.0811060294508934,3.2258064516129,-7.58810949325562,4.7
"34",41,57.3558468349598,1.73374342918396,28.0584564208984,6.89680480957031,4.49804401397705,24.2724075317383,31.6668739318848,1.59,9.5,-158.485137939453,0.121190316975117,2.41935483870968,-2.85757565498352,3.6
"35",42,50.8391278043444,2.03537392616272,15.4623031616211,9.51618957519531,4.21699190139771,40.6575813293457,25.0473136901855,0.7,9.5,4.41305446624756,0.641976416110992,21.7252396166134,-9.90092468261719,7.8
"36",43,67.0692143438578,1.95398354530334,21.7089710235596,3.97102880477905,4.92159032821655,28.3137493133545,35.4137496948242,0.911111111111111,9.5,-33.1138305664062,0.0807453095912933,5.70175438596491,-7.08229398727417,4.5
"37",44,50.7263547560874,1.22554194927216,28.4811744689941,7.96602296829224,5.7917423248291,24.2382621765137,29.6380424499512,1,9.5,-185.704238891602,0.146481364965439,7.64705882352941,-4.42506647109985,6.3
"38",45,48.9249633019601,1.84734296798706,14.5664052963257,6.21443319320679,3.70884156227112,52.8637351989746,18.1520900726318,0.4,14.3,7.02211380004883,1.03171968460083,35.9050445103858,-6.60891246795654,8.7
"39",46,56.3633152528923,1.63476264476776,31.2454814910889,6.07913112640381,7.11964130401611,17.6346035003662,33.3304901123047,0.83,14.3,-237.648132324219,0.117210358381271,7.41797432239658,-3.89013290405273,4.2
"40",47,57.3514654650106,1.3819328546524,31.5412521362305,6.62317848205566,5.23712396621704,17.3086833953857,34.8183174133301,0.64,14.3,-208.579559326172,0.218467593193054,11.6883116883117,-11.1357622146606,2.9
"41",48,61.2460559923874,1.443967461586,28.4796886444092,4.74022197723389,3.7590172290802,22.1123733520508,36.4258422851562,0.64,14.3,-107.752861022949,0.219299018383026,11.9266055045872,-5.69035243988037,4.7
"42",49,65.164098801663,1.42851400375366,29.8010444641113,5.02480506896973,5.46629333496094,14.1931619644165,40.4628715515137,3.73,9.7,-93.774169921875,0.285782784223557,8.55172413793103,-3.06036734580994,4.4
"43",50,59.224161817678,0.753843545913696,33.3750953674316,9.27333736419678,8.69362163543701,10.606897354126,32.8081207275391,5.02,13.2,-170.49755859375,0.181848332285881,8.06451612903226,-3.0019519329071,2.7
"44",51,57.4434623697482,1.13113462924957,30.9591293334961,6.00473403930664,5.84882402420044,17.0642261505127,33.9946365356445,1.84,13.2,-177.121719360352,0.0815337151288986,6.15114235500879,-2.72382116317749,3.4
"45",52,54.7638409097857,1.22367084026337,30.3124103546143,6.18327522277832,7.13217687606812,20.6384601593018,29.5969638824463,1.09,13.2,-183.620391845703,0.270232856273651,9.47176684881603,-8.79519176483154,2.2
"46",53,63.2222135419573,1.64195919036865,24.5167961120605,4.0837869644165,3.77181482315063,24.9366664886475,36.1629753112793,0.8625,12.5,-13.0381879806519,0.0618979968130589,7.10059171597633,-7.56620073318481,5.6
"47",54,56.8737612815515,1.06054592132568,31.9188442230225,7.10360765457153,8.5778694152832,14.3263359069824,32.993480682373,3.17,12.5,-194.775741577148,0.139137551188469,5.59210526315789,-3.81360459327698,3.9
